,1,2,3,4,5,6,7,8,9,10,11
1,0,0,0.666666667,0,0,0,0,0,0,0.333333333,0
2,0,0,0.142857143,0,0,0.142857143,0,0,0.714285714,0,0
3,0.08,0.16,0,0.28,0.04,0,0.16,0.04,0.04,0.04,0.16
4,0.037037037,0.037037037,0.037037037,0,0,0,0.148148148,0.62962963,0,0,0.111111111
5,0,0.333333333,0,0,0,0,0,0,0.666666667,0,0
6,0,0.166666667,0.166666667,0.166666667,0,0,0.5,0,0,0,0
7,0,0.054054054,0.297297297,0.216216216,0,0,0,0.135135135,0,0,0.297297297
8,0,0,0.173913043,0.260869565,0.043478261,0.043478261,0.130434783,0,0.043478261,0,0.304347826
9,0,0.727272727,0,0.181818182,0,0,0,0.090909091,0,0,0
10,0,0.428571429,0,0,0,0,0,0,0.428571429,0,0.142857143
11,0,0.083333333,0.083333333,0.166666667,0.041666667,0,0.208333333,0.083333333,0.041666667,0.291666667,0
